"STREET NAME";"STREET NAME 1ST PART";"STREET NAME 2ND PART";"TOWN IF NOT GLASGOW";"ALTERNATIVE SPELLING";"DIRECTORY START scan 585";"DIRECTORY END scan 789"
"Hopetoun Place";;;;;;
"Horselethill Road";;;"Kelvinside";;;
"Hospital Street";;;;;;
"Houldsworth Street";;;;;;
"Houston Street";;;;;;
"Howard Street";;;"Glasgow, Bridgeton";"east";;
"Hunter Street";;;;;;
"Hunter Terrace";;;;;;
"Huntly Gardens";;;"Kelvinside";;;
"Hutcheson Square";;;;;;
"Hutcheson Street";;;;;;
"Hydepark Street";;;;;;
"Hyndland Road";;;"Kelvinside";;;
"Hyndland Street";;;"Partick";;;
"India Street";;;"Glasgow, Partick, ";"west";;
"Ingleby Drive";;;;;;
"Inglefield Street";;;;;;
"Inglefield Terrace";;;;;;
"Inglis Street";;;;;;
"Ingram Street";;;;"east";;
"Iona Place";;;"Mount Florida";;;
"Jackson Street";;;;;;
"Jail Square";;;;;;
"Jamaica Street";;;;;;
"James' Street";;;"Calton, Greenhead, Mile-end, Port Dundas";;;
"James Morrison Street";;;;;;
"James Watt Street";;;;;;
"Jamieson Street";;;"Govanhill";;;
"Jane Place";;;"Glasgow, Pollockshields";;;
"Jardine Street";;;;;;
"John Street";;;"Glasgow, Bridgeton";"east";;
"John Knox Street";;;;;;
"Keir Street";;;"East Pollockshields";;;
"Keir Terrace";;;"Pollockshields";;;
"Kelbourne Street";;;"Kelvinside";;;
"Kelburn Terrace";;;"Govanhill";;;
"Kelvin Drive";;;"Glasgow, Kelvinside";;;
"Kelvin Street";;;"Glasgow, Partick";;;
"Kelvingrove Street";;;;;;
"Kelvingrove Terrace";;;;;;
"Kelvinhaugh Street";;;;;;
"Kelvinside Gardens";;;"Kelvinside";"north, south, west";;
"Kenmure Place";;;"Pollockshields";;;
"Kenmure Street";;;"Glasgow, Pollockshields (East)";;;
"Kenmure Terrace";;;"Pollockshields";;;
"Kennedy Street";;;;;;
"Kent Road";;;;;;
"Kent Square";;;;;;
"Keppochhill Road";;;"Springburn";;;
"Kerr Street";;;"Calton";;;
"Kersland Street";;;"Hillhead";;;
"Kersland Terrace";;;"Hillhead";;;
"Kew Terrace";;;"Kelvinside";;;
"Keyden Street";;;;;;
"Killearn Street";;;"Possilpark";;;
"Killermont Street";;;;;;
"Kingston Place";;;;;;
"King Street";;;"Glasgow, Calton, Mile-end, Tradeston";;;
"Kinning Place";;;;"south";;
"Kinning Street";;;"Kingston";;;
"Kirk Street";;;"Calton, Gorbals, Townhead";"east, west";;
"Kirklee Gardens";;;"Kelvinside";;;
"Kirklee Road";;;"Kelvinside";;;
"Kirkpatrick Street";;;;;;
"Knightswood Place";;;;;;
"Knowe Terrace";;;"Pollockshields";;;
"Kyle Street";;;;;;
"La Belle Place";;;"Kelvingrove";;;
"Lacrosse Place";;;;;;
"Ladywell Street";;;;;;
"Lambhill Street";;;;;;
"Lamlash Place";;;"Pollockshields";;;
"Lanarck Street";;;;"east";;
"Lancaster Terrace";;;"Kelvinside";;;
"Lancefield Quay";;;;;;
"Lancefield Street";;;;;;
"Lancelot Place";;;"Pollockshields";;;
"Landore Terrace";;;"Mount Florida";;;
"Landressy Street";;;;;;
"Langside Road";;;"Crosshill, Langside";;;
"Landsdowne Crescent";;;;;;
"Largo Place";;;;;;
"Laurel Bank";;;"Partick";;;
"Lawrence Place";;;"Partick";;;
"Lendel Terrace";;;"Govan";;;
"Leslie Road";;;"Pollockshields";;;
"Leslie Street";;;"Pollockshields";;;
"Leven Street";;;"Pollockshields";;;
"Lillybank Road";;;;;;
"Lillybank Street";;;;;;
"Lillybank Terrace";;;"Hillhead";;;
"Lime Street";;;;;;
"Linden Terrace";;;"Pollockshields";;;
"Lindsay Terrace";;;"Partick";;;
"Linhall Terrace";;;;;;
"Linwood Terrace";;;"Hillhead";;;
